# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec 13 14:48:01 2024
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Microlensing%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Gaia22dkvL b,Gaia22dkvL,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,1.400000,0.770000,-0.340000,0,14.100,,,0,1.260,,,0,187.83659,48.30992,-16.52708,0,0.59100,0.15200,-0.05200,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,1.15,0.15,-0.08,0,,,,,,,,,,10h07m04.56s,151.7690000,-66d10m51.20s,-66.1808889,1270.0000000,430.0000000,-250.0000000,,,,,,,,,
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,1,Microlensing,2023,K2,0,4700.00000000,3000.00000000,-700.00000000,0,4.160000,0.320000,-0.320000,0,13.700,,,0,1.230,,,0,349.61125,28.60456,-28.60456,0,1.10000,0.09000,-0.09000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.58,0.04,-0.04,0,,,,,,,,,,17h59m31.16s,269.8798333,-27d36m26.90s,-27.6074722,5200.0000000,240.0000000,-240.0000000,,,,,,,,,
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,1,1,Microlensing,2018,KMTNet,0,,,,,2.200000,0.700000,-0.700000,0,12.200,,,0,1.080,,,0,5700.00000,6000.00000,-3500.00000,0,18.00000,20.00000,-11.00000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.48,0.38,-0.26,0,,,,,,,,,,17h53m45.42s,268.4392500,-29d05m12.80s,-29.0868889,6300.0000000,1100.0000000,-1600.0000000,,,,,,,,,
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1,1,Microlensing,2023,KMTNet,0,,,,,2.440000,0.880000,-0.750000,0,1.330,,,0,0.118,,,0,2.32000,7.43000,-1.56000,0,0.00730,0.02338,-0.00491,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.41,0.25,-0.21,0,,,,,,,,,,17h45m47.34s,266.4472500,-26d15m58.93s,-26.2663694,5080.0000000,2240.0000000,-2180.0000000,,,,,,,,,
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,1,1,Microlensing,2019,KMTNet,0,,,,,0.342000,0.070000,-0.085000,0,13.100,,,0,1.170,,,0,1043.00000,1102.00000,-583.00000,0,3.28300,3.46800,-1.83500,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.09,0.09,-0.05,0,,,,,,,,,,17h45m40.26s,266.4177500,-26d01m54.48s,-26.0318000,6651.0000000,948.0000000,-1348.0000000,,,,,,,,,
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,1,1,Microlensing,2018,KMTNet,0,,,,,5.100000,1.500000,-1.700000,0,12.700,,,0,1.130,,,0,2200.00000,1700.00000,-1400.00000,0,7.00000,5.20000,-4.30000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.45,0.33,-0.28,0,,,,,,,,,,18h10m39.51s,272.6646120,-24d51m27.86s,-24.8577385,6600.0000000,1100.0000000,-1300.0000000,,,,,,,,,
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,1,1,Microlensing,2018,KMTNet,0,,,,,1.080000,0.220000,-0.220000,0,12.900,,,0,1.150,,,0,1450.00000,1600.00000,-680.00000,0,4.57000,5.03000,-2.14000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.04,0.04,-0.02,0,,,,,,,,,,17h55m03.54s,268.7647400,-29d31m00.91s,-29.5169201,6260.0000000,1140.0000000,-1280.0000000,,,,,,,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,1,1,Microlensing,2019,KMTNet,0,,,,,3.500000,1.100000,-0.900000,0,13.300,,,0,1.190,,,0,700.00000,600.00000,-350.00000,0,2.20000,1.90000,-1.10000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.49,0.38,-0.25,0,,,,,,,,,,17h53m00.08s,268.2503330,-30d02m26.70s,-30.0407500,7100.0000000,800.0000000,-2400.0000000,,,,,,,,,
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,1,1,Microlensing,2018,KMTNet,0,,,,,0.830000,0.150000,-0.200000,0,12.200,,,0,1.090,,,0,4923.00000,7943.00000,-2730.00000,0,15.49000,24.99000,-8.58000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.07,0.12,-0.04,0,,,,,,,,,,17h52m26.88s,268.1120000,-29d23m04.42s,-29.3845615,7010.0000000,1010.0000000,-1160.0000000,,,,,,,,,
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,1,1,Microlensing,2024,KMTNet,0,,,,,3.580000,0.810000,-0.810000,0,13.800,,,0,1.230,,,0,301.93699,130.30965,-130.30965,0,0.95000,0.41000,-0.41000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.73,0.28,-0.28,0,,,,,,,,,,17h36m13.90s,264.0579167,-25d31m29.57s,-25.5248806,3580.0000000,1220.0000000,-1220.0000000,,,,,,,,,
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,1,1,Microlensing,2020,KMTNet,0,,,,,2.630000,0.460000,-0.650000,0,13.000,,,0,1.160,,,0,1250.00000,1000.00000,-690.00000,0,3.93000,3.16000,-2.17000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.50,0.40,-0.27,0,,,,,,,,,,17h42m51.76s,265.7156670,-27d26m08.02s,-27.4355611,6440.0000000,1130.0000000,-1600.0000000,,,,,,,,,
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,1,1,Microlensing,2020,KMTNet,0,,,,,3.640000,1.220000,-1.610000,0,13.200,,,0,1.180,,,0,836.00000,375.00000,-391.00000,0,2.63000,1.18000,-1.23000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.64,0.29,-0.30,0,,,,,,,,,,17h44m51.01s,266.2125420,-23d12m04.97s,-23.2013806,4880.0000000,1650.0000000,-2180.0000000,,,,,,,,,
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,1,1,Microlensing,2021,KMTNet,0,,,,,0.681000,0.102000,-0.110000,0,14.000,,,0,1.250,,,0,245.04570,375.99101,-127.44919,0,0.77100,1.18300,-0.40100,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.06,0.10,-0.03,0,,,,,,,,,,17h59m17.54s,269.8230833,-26d58m55.20s,-26.9820000,6421.0000000,878.0000000,-991.0000000,,,,,,,,,
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,1,1,Microlensing,2018,KMTNet,0,,,,,3.450000,0.980000,-0.950000,0,6.450,,,0,0.575,,,0,34.00000,15.00000,-12.00000,0,0.11000,0.05000,-0.04000,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.76,0.34,-0.27,0,,,,,,,,,,17h58m35.92s,269.6496667,-28d08m01.21s,-28.1336694,4530.0000000,1040.0000000,-980.0000000,,,,,,,,,
